feature_id,feature_name,feature_type,compartment,channel,unit,software,version
{compartment}_{channel}_pftas_15,{Compartment} {Channel} PFTAS Feature 15,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_16,{Compartment} {Channel} PFTAS Feature 16,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_17,{Compartment} {Channel} PFTAS Feature 17,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_18,{Compartment} {Channel} PFTAS Feature 18,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_19,{Compartment} {Channel} PFTAS Feature 19,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_2,{Compartment} {Channel} PFTAS Feature 2,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_20,{Compartment} {Channel} PFTAS Feature 20,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_21,{Compartment} {Channel} PFTAS Feature 21,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_22,{Compartment} {Channel} PFTAS Feature 22,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_23,{Compartment} {Channel} PFTAS Feature 23,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_24,{Compartment} {Channel} PFTAS Feature 24,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_25,{Compartment} {Channel} PFTAS Feature 25,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_26,{Compartment} {Channel} PFTAS Feature 26,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_27,{Compartment} {Channel} PFTAS Feature 27,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_28,{Compartment} {Channel} PFTAS Feature 28,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_29,{Compartment} {Channel} PFTAS Feature 29,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_3,{Compartment} {Channel} PFTAS Feature 3,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_30,{Compartment} {Channel} PFTAS Feature 30,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_31,{Compartment} {Channel} PFTAS Feature 31,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_32,{Compartment} {Channel} PFTAS Feature 32,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_33,{Compartment} {Channel} PFTAS Feature 33,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_34,{Compartment} {Channel} PFTAS Feature 34,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_35,{Compartment} {Channel} PFTAS Feature 35,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_36,{Compartment} {Channel} PFTAS Feature 36,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_37,{Compartment} {Channel} PFTAS Feature 37,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_38,{Compartment} {Channel} PFTAS Feature 38,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_39,{Compartment} {Channel} PFTAS Feature 39,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_4,{Compartment} {Channel} PFTAS Feature 4,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_40,{Compartment} {Channel} PFTAS Feature 40,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_41,{Compartment} {Channel} PFTAS Feature 41,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_42,{Compartment} {Channel} PFTAS Feature 42,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_43,{Compartment} {Channel} PFTAS Feature 43,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_44,{Compartment} {Channel} PFTAS Feature 44,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_45,{Compartment} {Channel} PFTAS Feature 45,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_46,{Compartment} {Channel} PFTAS Feature 46,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_47,{Compartment} {Channel} PFTAS Feature 47,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_48,{Compartment} {Channel} PFTAS Feature 48,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_49,{Compartment} {Channel} PFTAS Feature 49,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_5,{Compartment} {Channel} PFTAS Feature 5,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_50,{Compartment} {Channel} PFTAS Feature 50,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_51,{Compartment} {Channel} PFTAS Feature 51,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_52,{Compartment} {Channel} PFTAS Feature 52,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_53,{Compartment} {Channel} PFTAS Feature 53,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_6,{Compartment} {Channel} PFTAS Feature 6,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_7,{Compartment} {Channel} PFTAS Feature 7,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_8,{Compartment} {Channel} PFTAS Feature 8,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_pftas_9,{Compartment} {Channel} PFTAS Feature 9,texture,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_radial_cv_0,{Compartment} {Channel} Radial CV Ring 0,intensity,{compartment},{channel},,cp_emulator,
